query,system_name,Precision,Recall,F1-Score
blue denim sneakers for women,Baseline,0.5,0.7142857142857143,0.588235294117647
beige denim sneakers for women,Vector Search (LLM),0.6,0.6666666666666666,0.631578947368421
beige denim sneakers for women,Baseline,0.6,0.6666666666666666,0.631578947368421
blue wool sneakers unisex,Vector Search (LLM),0.0,0.0,0.0
blue wool sneakers unisex,Baseline,0.7,1.0,0.8235294117647058
green sportswear suit for kids,Vector Search (LLM),0.0,0.0,0.0
green sportswear suit for kids,Baseline,0.0,0.0,0.0
white wool dress for women,Vector Search (LLM),0.4,0.5,0.4444444444444445
white wool dress for women,Baseline,0.4,0.5,0.4444444444444445
beige cotton dress for men,Vector Search (LLM),0.0,0.0,0.0
beige cotton dress for men,Baseline,0.4,0.4444444444444444,0.4210526315789474
pink cotton dress for men,Vector Search (LLM),0.0,0.0,0.0
pink cotton dress for men,Baseline,0.0,0.0,0.0
black casual dress for women,Vector Search (LLM),0.0,0.0,0.0
black casual dress for women,Baseline,0.5,0.5555555555555556,0.5263157894736842
orange formal t-shirt for men,Vector Search (LLM),0.0,0.0,0.0
orange formal t-shirt for men,Baseline,0.6,1.0,0.7499999999999999
yellow linen boots unisex,Vector Search (LLM),0.4,1.0,0.5714285714285715
yellow linen boots unisex,Baseline,0.4,1.0,0.5714285714285715
gray slim fit jeans for men,Vector Search (LLM),0.4,0.5,0.4444444444444445
gray slim fit jeans for men,Baseline,0.5,0.625,0.5555555555555556
green formal t-shirt for men,Vector Search (LLM),0.0,0.0,0.0
green formal t-shirt for men,Baseline,0.5,0.5,0.5
brown formal t-shirt for men,Vector Search (LLM),0.4,0.4444444444444444,0.4210526315789474
brown formal t-shirt for men,Baseline,0.5,0.5555555555555556,0.5263157894736842
red cotton suit for kids,Vector Search (LLM),0.4,0.6666666666666666,0.5
red cotton suit for kids,Baseline,0.2,0.3333333333333333,0.25
white wool t-shirt unisex,Vector Search (LLM),0.5,0.5,0.5
white wool t-shirt unisex,Baseline,0.5,0.5,0.5
yellow sportswear suit for women,Vector Search (LLM),0.0,0.0,0.0
yellow sportswear suit for women,Baseline,0.1,0.5,0.16666666666666669
pink oversized boots unisex,Vector Search (LLM),0.2,0.3333333333333333,0.25
pink oversized boots unisex,Baseline,0.5,0.8333333333333334,0.625
green sportswear coat for kids,Vector Search (LLM),0.0,0.0,0.0
green sportswear coat for kids,Baseline,0.5,0.8333333333333334,0.625
blue wool dress for men,Vector Search (LLM),0.0,0.0,0.0
blue wool dress for men,Baseline,0.0,0.0,0.0
red wool jeans for men,Vector Search (LLM),0.3,0.42857142857142855,0.3529411764705882
red wool jeans for men,Baseline,0.3,0.42857142857142855,0.3529411764705882
red leather coat unisex,Vector Search (LLM),0.2,0.6666666666666666,0.30769230769230765
red leather coat unisex,Baseline,0.3,1.0,0.4615384615384615
yellow formal dress for men,Vector Search (LLM),0.0,0.0,0.0
yellow formal dress for men,Baseline,0.2,0.5,0.28571428571428575
blue linen sneakers for kids,Vector Search (LLM),0.2,0.2857142857142857,0.23529411764705882
blue linen sneakers for kids,Baseline,0.7,1.0,0.8235294117647058
gray denim skirt for women,Vector Search (LLM),0.5,0.625,0.5555555555555556
gray denim skirt for women,Baseline,0.6,0.75,0.6666666666666665
green sportswear skirt for women,Vector Search (LLM),0.2,0.2222222222222222,0.2105263157894737
green sportswear skirt for women,Baseline,0.6,0.6666666666666666,0.631578947368421
brown denim scarf for women,Vector Search (LLM),0.6,0.8571428571428571,0.7058823529411764
brown denim scarf for women,Baseline,0.5,0.7142857142857143,0.588235294117647
orange cotton sweater for kids,Vector Search (LLM),0.2,0.4,0.26666666666666666
orange cotton sweater for kids,Baseline,0.5,1.0,0.6666666666666666
red denim jacket for women,Vector Search (LLM),0.7,1.0,0.8235294117647058
red denim jacket for women,Baseline,0.7,1.0,0.8235294117647058
green sportswear sneakers for kids,Vector Search (LLM),0.5,0.625,0.5555555555555556
green sportswear sneakers for kids,Baseline,0.6,0.75,0.6666666666666665
gray denim boots for kids,Vector Search (LLM),0.4,0.6666666666666666,0.5
gray denim boots for kids,Baseline,0.6,1.0,0.7499999999999999
brown linen scarf unisex,Vector Search (LLM),0.5,1.0,0.6666666666666666
brown linen scarf unisex,Baseline,0.5,1.0,0.6666666666666666
gray denim shoes for men,Vector Search (LLM),0.5,0.8333333333333334,0.625
gray denim shoes for men,Baseline,0.1,0.16666666666666666,0.125
brown slim fit shoes for kids,Vector Search (LLM),0.0,0.0,0.0
brown slim fit shoes for kids,Baseline,0.2,0.6666666666666666,0.30769230769230765
black denim hoodie for men,Vector Search (LLM),0.5,0.625,0.5555555555555556
black denim hoodie for men,Baseline,0.5,0.625,0.5555555555555556
orange linen shoes for men,Vector Search (LLM),0.0,0.0,0.0
orange linen shoes for men,Baseline,0.0,0.0,0.0
red formal scarf unisex,Vector Search (LLM),0.5,0.625,0.5555555555555556
red formal scarf unisex,Baseline,0.7,0.875,0.7777777777777777
green cotton shoes unisex,Vector Search (LLM),0.4,0.6666666666666666,0.5
green cotton shoes unisex,Baseline,0.3,0.5,0.37499999999999994
orange formal t-shirt unisex,Vector Search (LLM),0.5,0.8333333333333334,0.625
orange formal t-shirt unisex,Baseline,0.5,0.8333333333333334,0.625
beige oversized trousers for kids,Vector Search (LLM),0.6,0.6666666666666666,0.631578947368421
beige oversized trousers for kids,Baseline,0.5,0.5555555555555556,0.5263157894736842
orange denim blazer for women,Vector Search (LLM),0.1,0.16666666666666666,0.125
orange denim blazer for women,Baseline,0.6,1.0,0.7499999999999999
beige oversized sneakers unisex,Vector Search (LLM),0.2,0.3333333333333333,0.25
beige oversized sneakers unisex,Baseline,0.4,0.6666666666666666,0.5
green oversized blazer for men,Vector Search (LLM),0.2,0.5,0.28571428571428575
green oversized blazer for men,Baseline,0.4,1.0,0.5714285714285715
gray denim trousers for kids,Vector Search (LLM),0.0,0.0,0.0
gray denim trousers for kids,Baseline,0.4,0.5,0.4444444444444445
beige denim suit unisex,Vector Search (LLM),0.2,0.4,0.26666666666666666
beige denim suit unisex,Baseline,0.1,0.2,0.13333333333333333
pink leather skirt unisex,Vector Search (LLM),0.4,0.5,0.4444444444444445
pink leather skirt unisex,Baseline,0.5,0.625,0.5555555555555556
brown leather hoodie for kids,Vector Search (LLM),0.2,0.3333333333333333,0.25
brown leather hoodie for kids,Baseline,0.6,1.0,0.7499999999999999
yellow formal skirt unisex,Vector Search (LLM),0.4,0.4444444444444444,0.4210526315789474
yellow formal skirt unisex,Baseline,0.6,0.6666666666666666,0.631578947368421
black wool dress for women,Vector Search (LLM),0.0,0.0,0.0
black wool dress for women,Baseline,0.5,0.5,0.5
green formal sweater unisex,Vector Search (LLM),0.3,0.3,0.3
green formal sweater unisex,Baseline,0.5,0.5,0.5
white leather skirt for women,Vector Search (LLM),0.4,0.4444444444444444,0.4210526315789474
white leather skirt for women,Baseline,0.6,0.6666666666666666,0.631578947368421
red linen scarf for men,Vector Search (LLM),0.5,0.7142857142857143,0.588235294117647
red linen scarf for men,Baseline,0.5,0.7142857142857143,0.588235294117647
pink oversized t-shirt for women,Vector Search (LLM),0.0,0.0,0.0
pink oversized t-shirt for women,Baseline,0.5,0.5,0.5
white formal t-shirt for women,Vector Search (LLM),0.0,0.0,0.0
white formal t-shirt for women,Baseline,0.5,0.5,0.5
gray linen scarf for kids,Vector Search (LLM),0.3,0.375,0.33333333333333326
gray linen scarf for kids,Baseline,0.7,0.875,0.7777777777777777
brown formal boots for women,Vector Search (LLM),0.3,0.375,0.33333333333333326
brown formal boots for women,Baseline,0.5,0.625,0.5555555555555556
gray casual jeans unisex,Vector Search (LLM),0.4,0.4,0.4000000000000001
gray casual jeans unisex,Baseline,0.6,0.6,0.6
blue sportswear scarf for women,Vector Search (LLM),0.4,0.5,0.4444444444444445
blue sportswear scarf for women,Baseline,0.6,0.75,0.6666666666666665
white linen suit unisex,Vector Search (LLM),0.0,0.0,0.0
white linen suit unisex,Baseline,0.5,0.5555555555555556,0.5263157894736842
beige casual dress for men,Vector Search (LLM),0.0,0.0,0.0
beige casual dress for men,Baseline,0.5,1.0,0.6666666666666666
green linen blazer unisex,Vector Search (LLM),0.4,1.0,0.5714285714285715
green linen blazer unisex,Baseline,0.4,1.0,0.5714285714285715
beige slim fit scarf unisex,Vector Search (LLM),0.5,0.5,0.5
beige slim fit scarf unisex,Baseline,0.5,0.5,0.5
gray slim fit blazer for women,Vector Search (LLM),0.4,0.4,0.4000000000000001
gray slim fit blazer for women,Baseline,0.5,0.5,0.5
blue sportswear coat for women,Vector Search (LLM),0.0,0.0,0.0
blue sportswear coat for women,Baseline,0.2,0.6666666666666666,0.30769230769230765
brown leather trousers unisex,Vector Search (LLM),0.4,0.8,0.5333333333333333
brown leather trousers unisex,Baseline,0.4,0.8,0.5333333333333333
brown oversized skirt for women,Vector Search (LLM),0.0,0.0,0.0
brown oversized skirt for women,Baseline,0.6,0.8571428571428571,0.7058823529411764
gray leather jeans for kids,Vector Search (LLM),0.8,0.8,0.8000000000000002
gray leather jeans for kids,Baseline,0.5,0.5,0.5
white formal t-shirt unisex,Vector Search (LLM),0.0,0.0,0.0
white formal t-shirt unisex,Baseline,0.5,0.5,0.5
black cotton coat for women,Vector Search (LLM),0.4,0.4,0.4000000000000001
black cotton coat for women,Baseline,0.6,0.6,0.6
white formal suit for kids,Vector Search (LLM),0.2,0.2222222222222222,0.2105263157894737
white formal suit for kids,Baseline,0.4,0.4444444444444444,0.4210526315789474
beige sportswear sneakers unisex,Vector Search (LLM),0.5,0.7142857142857143,0.588235294117647
beige sportswear sneakers unisex,Baseline,0.5,0.7142857142857143,0.588235294117647
orange denim blazer for kids,Vector Search (LLM),0.0,0.0,0.0
orange denim blazer for kids,Baseline,0.2,0.6666666666666666,0.30769230769230765
orange casual coat for kids,Vector Search (LLM),0.4,1.0,0.5714285714285715
orange casual coat for kids,Baseline,0.3,0.75,0.4285714285714285
orange formal blazer for men,Vector Search (LLM),0.0,0.0,0.0
orange formal blazer for men,Baseline,0.0,0.0,0.0
yellow denim hoodie for kids,Vector Search (LLM),0.6,0.8571428571428571,0.7058823529411764
yellow denim hoodie for kids,Baseline,0.6,0.8571428571428571,0.7058823529411764
blue denim coat for men,Vector Search (LLM),0.3,0.3,0.3
blue denim coat for men,Baseline,0.5,0.5,0.5
orange denim boots for women,Vector Search (LLM),0.7,1.0,0.8235294117647058
orange denim boots for women,Baseline,0.6,0.8571428571428571,0.7058823529411764
black linen trousers for kids,Vector Search (LLM),0.1,0.14285714285714285,0.11764705882352941
black linen trousers for kids,Baseline,0.5,0.7142857142857143,0.588235294117647
brown cotton hoodie unisex,Vector Search (LLM),0.6,1.0,0.7499999999999999
brown cotton hoodie unisex,Baseline,0.6,1.0,0.7499999999999999
yellow cotton jeans for women,Vector Search (LLM),0.4,1.0,0.5714285714285715
yellow cotton jeans for women,Baseline,0.3,0.75,0.4285714285714285
white sportswear blazer unisex,Vector Search (LLM),0.1,0.3333333333333333,0.15384615384615383
white sportswear blazer unisex,Baseline,0.1,0.3333333333333333,0.15384615384615383
yellow wool boots for women,Vector Search (LLM),0.6,0.8571428571428571,0.7058823529411764
yellow wool boots for women,Baseline,0.6,0.8571428571428571,0.7058823529411764
blue formal skirt for kids,Vector Search (LLM),0.2,0.2,0.20000000000000004
blue formal skirt for kids,Baseline,0.5,0.5,0.5
gray linen skirt for men,Vector Search (LLM),0.0,0.0,0.0
gray linen skirt for men,Baseline,0.0,0.0,0.0
gray linen skirt for women,Vector Search (LLM),0.3,0.42857142857142855,0.3529411764705882
gray linen skirt for women,Baseline,0.6,0.8571428571428571,0.7058823529411764
white formal trousers for kids,Vector Search (LLM),0.0,0.0,0.0
white formal trousers for kids,Baseline,0.0,0.0,0.0
orange oversized sneakers for kids,Vector Search (LLM),0.2,0.6666666666666666,0.30769230769230765
orange oversized sneakers for kids,Baseline,0.3,1.0,0.4615384615384615
gray linen hoodie unisex,Vector Search (LLM),0.4,0.5,0.4444444444444445
gray linen hoodie unisex,Baseline,0.5,0.625,0.5555555555555556
gray denim hoodie unisex,Vector Search (LLM),0.3,0.375,0.33333333333333326
gray denim hoodie unisex,Baseline,0.5,0.625,0.5555555555555556
yellow slim fit shoes for kids,Vector Search (LLM),0.3,1.0,0.4615384615384615
yellow slim fit shoes for kids,Baseline,0.2,0.6666666666666666,0.30769230769230765
green leather blazer unisex,Vector Search (LLM),0.2,1.0,0.33333333333333337
green leather blazer unisex,Baseline,0.2,1.0,0.33333333333333337
green leather shoes for men,Vector Search (LLM),0.3,0.75,0.4285714285714285
green leather shoes for men,Baseline,0.1,0.25,0.14285714285714288
yellow formal blazer for kids,Vector Search (LLM),0.0,0.0,0.0
yellow formal blazer for kids,Baseline,0.0,0.0,0.0
blue sportswear suit for kids,Vector Search (LLM),0.1,0.25,0.14285714285714288
blue sportswear suit for kids,Baseline,0.2,0.5,0.28571428571428575
blue wool shoes for kids,Vector Search (LLM),0.0,0.0,0.0
blue wool shoes for kids,Baseline,0.4,0.4444444444444444,0.4210526315789474
orange cotton skirt for men,Vector Search (LLM),0.0,0.0,0.0
orange cotton skirt for men,Baseline,0.0,0.0,0.0
